7_days_ago,6_days_ago,5_days_ago,4_days_ago,3_days_ago,2_days_ago,1_days_ago,0_days_ago,sales_change,current_price
-6.74,0.0,0.0,2.81,3.52,1.89,0.0,1.11,36.84,2.73
0.0,1.03,-5.1,5.38,0.0,0.0,0.0,0.0,-8.33,0.98
0.61,0.49,0.0,0.36,0.0,0.0,0.0,0.0,50.0,8.28
2.67,3.57,3.76,0.0,0.0,0.0,0.0,0.0,80.0,3.31
3.04,0.88,0.0,0.0,5.26,0.0,0.0,0.0,-41.67,3.6
-6.39,0.0,0.0,1.61,5.93,0.0,0.0,0.0,-34.78,2.68
0.0,0.0,4.32,2.59,0.0,-1.01,-4.08,-1.06,200.0,1.86
5.98,0.0,1.61,0.79,0.0,0.0,0.0,0.0,25.9,2.54
-3.07,0.0,-1.58,1.61,6.72,0.0,0.0,0.0,133.33,2.7
-2.36,0.4,0.0,2.01,2.76,1.92,0.0,0.0,-75.0,2.66
-0.36,0.0,0.18,0.0,0.18,0.0,0.0,0.0,-83.33,5.59
0.0,0.0,0.0,0.0,2.04,0.0,2.33,12.38,-23.08,3.45
-1.12,-9.03,-1.24,0.0,0.0,0.0,0.0,0.0,-29.41,3.98
0.0,0.0,0.0,0.4,0.0,0.0,-4.84,4.24,-27.27,2.46
1.82,2.09,0.0,0.0,5.26,0.0,0.0,0.0,35.9,3.6
-1.15,-2.32,-1.19,1.2,7.91,0.0,0.0,0.0,75.0,2.73
-4.2,-0.88,0.0,-1.77,0.0,1.8,0.0,0.0,-6.49,1.13
-2.38,-1.63,-0.83,0.0,0.0,0.0,0.0,0.0,3.39,1.2
-2.73,0.0,0.0,1.61,5.14,2.63,0.0,0.0,88.0,2.73
0.0,2.25,0.0,0.0,0.0,0.0,3.14,4.88,40.0,3.44
5.0,15.71,0.0,0.0,2.06,0.0,0.0,0.0,12.9,2.48
0.0,-0.53,3.72,1.54,0.0,0.0,0.0,0.0,100.0,1.98
0.0,0.37,0.0,0.0,0.74,0.0,0.73,0.0,3.37,2.75
0.0,-5.0,5.26,0.0,-10.0,11.11,0.0,0.0,100.0,0.2
0.0,0.0,0.0,4.02,0.6,0.89,0.29,0.0,14.29,3.42
0.32,0.0,0.97,0.0,0.0,0.0,-5.75,-5.76,-42.86,2.78
0.0,0.0,0.4,0.0,0.0,-0.4,-0.4,0.0,-50.0,2.46
0.0,-1.17,0.0,0.0,0.0,1.48,0.87,0.58,-50.0,3.48
0.0,-1.52,0.51,0.0,0.0,0.0,1.02,0.0,-33.33,1.98
-3.23,0.0,0.0,0.0,0.0,-5.83,0.0,6.19,-25.0,1.2
-5.0,0.0,5.26,0.0,0.0,-5.0,5.26,-5.0,82.86,0.19
-1.19,0.0,0.0,6.43,3.02,0.0,0.0,1.83,-32.0,2.78
0.0,0.0,1.61,6.72,1.11,0.0,0.0,5.86,7.14,2.89
0.0,-1.45,0.0,0.0,0.0,3.35,5.27,-24.66,100.0,3.91
0.0,0.0,0.4,0.0,0.0,-0.4,-0.4,0.0,-22.22,2.46
-0.89,-1.79,0.0,0.0,0.0,1.22,2.7,0.58,200.0,3.44
-1.64,0.0,0.0,0.0,0.0,0.0,-5.83,6.19,-32.21,1.2
0.0,0.0,2.81,3.52,1.89,0.0,1.11,3.3,-73.08,2.82
0.0,0.0,2.16,4.93,0.0,0.0,0.0,-6.71,0.0,2.78
1.03,-5.1,5.38,0.0,0.0,0.0,0.0,0.0,3.03,0.98
0.0,0.0,0.0,0.0,-1.38,0.0,0.35,-1.4,16.67,2.82
0.0,0.0,1.61,5.93,0.0,0.0,0.0,4.85,-20.0,2.81
0.0,0.0,0.0,0.28,0.28,0.0,0.0,-0.56,18.18,3.56
0.0,4.32,2.59,0.0,-1.01,-4.08,-1.06,0.0,66.67,1.86
0.0,-1.58,1.61,6.72,0.0,0.0,0.0,2.96,-67.35,2.78
0.4,0.0,2.01,2.76,1.92,0.0,0.0,5.64,400.0,2.81
0.0,0.0,0.0,2.04,0.0,2.33,12.38,0.0,140.0,3.45
3.12,0.0,0.0,0.0,-3.03,0.0,0.0,3.12,0.0,1.32
0.0,0.0,0.4,0.0,0.0,-4.84,4.24,0.0,-87.5,2.46
-2.32,-1.19,1.2,7.91,0.0,0.0,0.0,2.56,-57.14,2.8
-0.88,0.0,-1.77,0.0,1.8,0.0,0.0,0.0,-18.06,1.13
0.0,0.0,1.61,5.14,2.63,0.0,0.0,5.13,-63.83,2.87
2.25,0.0,0.0,0.0,0.0,3.14,4.88,0.0,114.29,3.44
-0.53,3.72,1.54,0.0,0.0,0.0,0.0,0.0,200.0,1.98
0.37,0.0,0.0,0.74,0.0,0.73,0.0,0.36,12.56,2.76
-5.0,5.26,0.0,-10.0,11.11,0.0,0.0,0.0,4700.0,0.2
0.0,0.0,2.53,0.0,0.0,0.0,1.23,8.94,28.57,2.68
0.0,0.0,4.02,0.6,0.89,0.29,0.0,0.0,37.5,3.42
0.0,0.97,0.0,0.0,0.0,-5.75,-5.76,0.0,175.0,2.78
0.0,0.4,0.0,0.0,-0.4,-0.4,0.0,0.0,5.56,2.46
-1.17,0.0,0.0,0.0,1.48,0.87,0.58,0.0,800.0,3.48
-1.52,0.51,0.0,0.0,0.0,1.02,0.0,0.0,87.5,1.98
0.0,5.26,0.0,0.0,-5.0,5.26,-5.0,0.0,-57.81,0.19
0.0,0.0,6.43,3.02,0.0,0.0,1.83,13.31,-100.0,3.15
0.0,0.0,0.85,0.0,0.0,0.0,-0.56,0.56,0.0,3.58
0.0,1.61,6.72,1.11,0.0,0.0,5.86,8.3,-100.0,3.13
-1.45,0.0,0.0,0.0,3.35,5.27,-24.66,0.0,50.0,3.91
0.0,0.4,0.0,0.0,-0.4,-0.4,0.0,0.0,-14.29,2.46
-1.79,0.0,0.0,0.0,1.22,2.7,0.58,0.29,33.33,3.45
0.0,2.81,3.52,1.89,0.0,1.11,3.3,10.28,-100.0,3.11
0.0,2.16,4.93,0.0,0.0,0.0,-6.71,0.0,60.0,2.78
0.0,0.0,0.0,0.0,0.0,-0.32,-3.22,-1.0,-12.82,2.98
0.0,0.0,0.0,-1.38,0.0,0.35,-1.4,-2.84,171.43,2.74
0.0,1.61,5.93,0.0,0.0,0.0,4.85,13.17,-100.0,3.18
0.0,0.0,0.28,0.28,0.0,0.0,-0.56,0.56,-100.0,3.58
0.0,0.0,-1.1,0.0,0.0,0.0,-0.84,0.85,-100.0,3.58
4.32,2.59,0.0,-1.01,-4.08,-1.06,0.0,0.0,-53.33,1.86
-1.58,1.61,6.72,0.0,0.0,0.0,2.96,10.79,-100.0,3.08
0.0,2.01,2.76,1.92,0.0,0.0,5.64,13.17,-10.0,3.18
0.0,0.0,2.04,0.0,2.33,12.38,0.0,0.0,-41.67,3.45
0.0,0.0,9.64,0.0,0.0,0.0,2.56,12.5,-100.0,3.15
0.0,0.0,0.0,-3.03,0.0,0.0,3.12,4.55,0.0,1.38
0.0,0.4,0.0,0.0,-4.84,4.24,0.0,0.0,1100.0,2.46
-1.19,1.2,7.91,0.0,0.0,0.0,2.56,6.07,-100.0,2.97
0.0,1.61,5.14,2.63,0.0,0.0,5.13,9.76,-100.0,3.15
0.0,0.0,0.0,0.0,3.14,4.88,0.0,-0.58,-46.67,3.42
0.0,0.0,0.74,0.0,0.73,0.0,0.36,0.36,-2.2,2.77
5.26,0.0,-10.0,11.11,0.0,0.0,0.0,0.0,33.33,0.2
0.0,2.53,0.0,0.0,0.0,1.23,8.94,0.0,-11.11,2.68
0.0,4.02,0.6,0.89,0.29,0.0,0.0,0.0,27.27,3.42
0.97,0.0,0.0,0.0,-5.75,-5.76,0.0,0.0,-54.55,2.78
0.0,0.0,0.0,0.0,0.0,20.86,0.6,-6.21,-66.67,3.17
0.4,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,36.84,2.46
0.0,0.0,0.0,1.48,0.87,0.58,0.0,0.0,-88.89,3.48
0.51,0.0,0.0,0.0,1.02,0.0,0.0,-1.01,40.0,1.96
5.26,0.0,0.0,-5.0,5.26,-5.0,0.0,0.0,9.88,0.19
0.0,6.43,3.02,0.0,0.0,1.83,13.31,0.95,100.0,3.18
0.0,0.85,0.0,0.0,0.0,-0.56,0.56,0.0,50.0,3.58
1.61,6.72,1.11,0.0,0.0,5.86,8.3,-2.24,100.0,3.06
0.0,0.0,0.0,3.35,5.27,-24.66,0.0,0.0,50.0,3.91
0.4,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,83.33,2.46
0.4,0.0,0.0,-0.81,0.0,0.0,0.0,-1.63,-16.67,2.42
0.0,0.0,0.0,1.22,2.7,0.58,0.29,0.0,-75.0,3.45
0.4,0.0,0.0,-0.81,0.0,0.0,0.0,-0.81,0.0,2.44
2.81,3.52,1.89,0.0,1.11,3.3,10.28,1.29,100.0,3.15
2.16,4.93,0.0,0.0,0.0,-6.71,0.0,7.19,-12.5,2.98
0.0,0.0,0.0,0.0,-0.32,-3.22,-1.0,0.0,-32.35,2.98
0.0,0.0,-1.38,0.0,0.35,-1.4,-2.84,0.0,-52.63,2.74
0.0,0.0,0.0,0.0,0.0,0.2,0.8,-0.6,100.0,4.98
0.0,0.0,0.0,0.0,0.0,7.81,0.72,-0.72,-43.75,1.38
1.61,5.93,0.0,0.0,0.0,4.85,13.17,0.0,100.0,3.18
0.0,0.0,0.0,0.0,0.6,0.6,-0.4,-0.6,100.0,4.98
2.59,0.0,-1.01,-4.08,-1.06,0.0,0.0,0.0,-71.43,1.86
2.01,2.76,1.92,0.0,0.0,5.64,13.17,0.0,-33.33,3.18
0.0,2.04,0.0,2.33,12.38,0.0,0.0,0.0,-50.0,3.45
0.0,0.0,-3.03,0.0,0.0,3.12,4.55,0.0,16.67,1.38
0.4,0.0,0.0,-4.84,4.24,0.0,0.0,-1.63,-91.67,2.42
0.0,0.0,0.0,3.14,4.88,0.0,-0.58,0.0,75.0,3.42
0.4,0.0,0.0,-0.81,0.0,0.0,0.0,-1.63,-11.11,2.42
0.0,0.74,0.0,0.73,0.0,0.36,0.36,0.36,-12.58,2.78
2.53,0.0,0.0,0.0,1.23,8.94,0.0,0.0,-12.5,2.68
4.02,0.6,0.89,0.29,0.0,0.0,0.0,0.0,-35.71,3.42
0.0,0.0,0.0,0.0,20.86,0.6,-6.21,-3.79,200.0,3.05
0.0,0.0,1.02,0.0,0.0,0.0,-1.01,-1.02,-40.91,1.94
0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,-1.63,-73.08,2.42
0.0,0.0,1.48,0.87,0.58,0.0,0.0,0.0,100.0,3.48
0.0,0.0,0.0,1.02,0.0,0.0,-1.01,-1.02,-66.67,1.94
0.0,0.0,1.02,0.0,0.0,0.0,-1.01,-1.02,-23.08,1.94
0.0,0.0,-5.0,5.26,-5.0,0.0,0.0,0.0,-4.49,0.19
6.43,3.02,0.0,0.0,1.83,13.31,0.95,0.0,450.0,3.18
0.85,0.0,0.0,0.0,-0.56,0.56,0.0,0.0,-100.0,3.58
6.72,1.11,0.0,0.0,5.86,8.3,-2.24,2.29,700.0,3.13
0.0,0.0,3.35,5.27,-24.66,0.0,0.0,0.0,-22.22,3.91
0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,-2.03,-18.18,2.41
0.0,0.0,1.22,2.7,0.58,0.29,0.0,0.0,100.0,3.45
0.0,0.0,-0.81,0.0,0.0,0.0,-0.81,-0.82,-40.0,2.42
3.52,1.89,0.0,1.11,3.3,10.28,1.29,0.95,-85.71,3.18
4.93,0.0,0.0,0.0,-6.71,0.0,7.19,0.0,-71.43,2.98
0.0,0.0,0.0,-0.32,-3.22,-1.0,0.0,0.0,30.43,2.98
0.0,-1.38,0.0,0.35,-1.4,-2.84,0.0,0.0,-44.44,2.74
0.0,0.0,0.0,0.0,0.2,0.8,-0.6,0.0,50.0,4.98
0.0,0.0,0.0,0.0,7.81,0.72,-0.72,0.0,211.11,1.38
5.93,0.0,0.0,0.0,4.85,13.17,0.0,0.0,1200.0,3.18
0.0,0.0,0.0,0.0,22.66,0.0,-5.87,-7.17,55.0,2.98
0.0,0.0,0.0,0.6,0.6,-0.4,-0.6,0.0,0.0,4.98
0.28,0.28,0.0,0.0,-0.56,0.56,0.0,0.0,100.0,3.58
0.0,0.0,-10.0,11.11,0.0,0.0,0.0,-5.0,-14.63,0.19
-1.1,0.0,0.0,0.0,-0.84,0.85,0.0,0.0,100.0,3.58
0.0,-1.01,-4.08,-1.06,0.0,0.0,0.0,1.08,0.0,1.88
2.76,1.92,0.0,0.0,5.64,13.17,0.0,0.0,0.0,3.18
2.04,0.0,2.33,12.38,0.0,0.0,0.0,0.0,100.0,3.45
9.64,0.0,0.0,0.0,2.56,12.5,0.0,0.95,100.0,3.18
0.0,-3.03,0.0,0.0,3.12,4.55,0.0,0.0,57.14,1.38
0.0,0.0,-4.84,4.24,0.0,0.0,-1.63,0.0,-100.0,2.42
7.91,0.0,0.0,0.0,2.56,6.07,3.37,1.3,100.0,3.11
0.0,0.0,3.14,4.88,0.0,-0.58,0.0,0.0,-42.86,3.42
0.0,0.0,0.0,1.02,0.0,0.0,-1.01,-1.02,-66.67,1.94
0.74,0.0,0.73,0.0,0.36,0.36,0.36,0.0,-11.41,2.78
0.6,0.89,0.29,0.0,0.0,0.0,0.0,0.0,33.33,3.42
0.0,-0.78,0.0,0.0,0.0,0.0,1.95,6.51,11.76,2.78
0.0,0.0,1.02,0.0,0.0,-1.01,0.0,-1.02,50.0,1.94
0.0,0.0,0.0,20.86,0.6,-6.21,-3.79,-2.3,116.67,2.98
0.0,1.02,0.0,0.0,0.0,-1.01,-1.02,0.0,115.38,1.94
0.0,-0.4,-0.4,0.0,0.0,0.0,-1.63,0.0,128.57,2.42
0.0,1.48,0.87,0.58,0.0,0.0,0.0,0.0,-100.0,3.48
0.0,0.0,1.02,0.0,0.0,-1.01,-1.02,0.0,14.29,1.94
0.0,1.02,0.0,0.0,0.0,-1.01,-1.02,0.0,70.0,1.94
0.0,-5.0,5.26,-5.0,0.0,0.0,0.0,5.26,100.0,0.2
0.0,0.0,0.0,0.0,0.0,0.51,-5.56,5.88,112.5,1.98
3.02,0.0,0.0,1.83,13.31,0.95,0.0,0.0,-45.45,3.18
1.11,0.0,0.0,5.86,8.3,-2.24,2.29,0.0,12.5,3.13
0.0,3.35,5.27,-24.66,0.0,0.0,0.0,0.0,57.14,3.91
0.0,0.0,0.0,0.51,0.0,0.0,-5.05,5.32,-26.67,1.98
0.0,-0.4,-0.4,0.0,0.0,0.0,-2.03,0.0,-55.56,2.41
0.0,1.22,2.7,0.58,0.29,0.0,0.0,0.0,250.0,3.45
0.0,-0.81,0.0,0.0,0.0,-0.81,-0.82,0.0,-55.56,2.42
1.89,0.0,1.11,3.3,10.28,1.29,0.95,0.0,700.0,3.18
0.0,0.0,0.0,0.0,2.96,0.0,0.29,0.29,-8.33,3.5
0.0,0.0,-0.32,-3.22,-1.0,0.0,0.0,0.0,-43.33,2.98
-1.38,0.0,0.35,-1.4,-2.84,0.0,0.0,5.11,40.0,2.88
0.0,0.0,0.0,0.0,-3.63,3.76,0.0,-3.63,23.53,3.19
0.0,0.0,0.0,0.2,0.8,-0.6,0.0,0.0,-100.0,4.98
0.0,0.0,0.0,7.81,0.72,-0.72,0.0,0.0,-17.86,1.38
0.0,0.0,0.0,22.66,0.0,-5.87,-7.17,0.0,25.81,2.98
0.0,0.0,0.6,0.6,-0.4,-0.6,0.0,0.0,-33.33,4.98
0.28,0.0,0.0,-0.56,0.56,0.0,0.0,0.0,-25.0,3.58
0.0,-10.0,11.11,0.0,0.0,0.0,-5.0,5.26,151.43,0.2
-1.01,-4.08,-1.06,0.0,0.0,0.0,1.08,5.32,300.0,1.98
1.92,0.0,0.0,5.64,13.17,0.0,0.0,0.0,0.0,3.18
0.0,0.0,0.0,2.56,12.5,0.0,0.95,0.0,28.57,3.18
-3.03,0.0,0.0,3.12,4.55,0.0,0.0,0.0,-63.64,1.38
0.0,-4.84,4.24,0.0,0.0,-1.63,0.0,0.0,100.0,2.42
0.0,0.0,0.0,2.56,6.07,3.37,1.3,0.0,0.0,3.11
0.0,3.14,4.88,0.0,-0.58,0.0,0.0,0.0,12.5,3.42
0.0,0.0,1.02,0.0,0.0,-1.01,-1.02,0.0,4600.0,1.94
0.0,0.73,0.0,0.36,0.36,0.36,0.0,0.0,15.66,2.78
0.0,0.0,1.23,8.94,0.0,0.0,0.0,-6.72,122.22,2.5
-0.78,0.0,0.0,0.0,0.0,1.95,6.51,0.0,-5.26,2.78
